"","MM","AM","BM","CM","MA","AA","BA","CA","MB","AB","BB","CB","MC","AC","BC","CC"
"1",0,0,0,0,0,1.854518145,5.161418563,-5.756770543,0,0,0,2.407430335,9.446795456,0,0,0
"2",0,0,0,0,0,1.002167881,6.005153366,-5.808382116,0,0,0,2.129647058,9.59785843,0,0,0
"3",0,0,0,0,0,1.002167881,5.668297615,-5.808382116,0,0,0,2.129647058,9.59785843,0,0,0
"4",0,0,0,0,0,1.864042487,5.686980461,-5.672925954,0,0,0,2.407430335,9.446795456,0,0,0
"5",0,0,0,0,0,0,3.997263294,-4.650051067,0,0,0,3.194279703,9.136171165,0,0,0
"6",0,0,0,0,9.655393549,0,3.997263294,-4.954395516,0,0,0,3.194279703,9.258376804,0,0,0
"7",0,0,0,0,0,2.688396867,6.714548659,-7.115220974,-1.360877048,0,0,2.206033345,9.446795456,0,0,0
"8",0,0,0,0,0,0,3.997263294,-4.24797817,0,0,0,2.993420792,9.136171165,0,0,0
"9",0,0,0,0,0,0,5.516412147,-5.014081629,0,0,0,2.653194773,9.504417265,0,0,0
"10",0,0,0,0,0,1.864042487,5.686980461,-5.672925954,-0.875009143,0,0,2.407430335,9.446795456,0,0,0
"11",0,0,0,0,0,1.391698317,5.516412147,-5.900680674,0,0,0,2.653194773,9.504417265,0,0,0
"12",0,0,0,0,-1.996707067,0,3.894789603,-3.949030009,0,0,0,2.858068649,9.446777288,0,0,0
"13",0,0,0,0,9.101610604,0,3.491079704,0,8.986187135,0,0,0,1.289018198,2.979226681,-8.102035765,0.8472180748
"14",0,0,0,0,5.988010025,0,4.307167784,0,8.746348121,0,0,0,0,5.520347893,-9.061196222,0
"15",0,0,0,0,3.249110472,0,5.221675527,0,9.044555195,0,0,0,0,3.728960007,-8.402408745,0
"16",0,0,0,0,7.06471072,0,3.99256029,0,8.746348121,0,0,0,0,5.625522615,-8.253443178,0
"17",0,0,0,0,9.422258096,0,0,0,0,-8.587568299,0.3856058708,8.785265656,0,2.560000095,0,0
"18",0,0,0,0,9.466730377,0,0,0,0,-6.209835457,0.6778177151,7.103050744,-8.935570125,3.548789553,0,0
"19",0,0,0,0,8.913404358,0,0,0,0,-8.695275424,0,6.686712843,0,2.762962823,0,0
"20",0,0,0,0,9.338143461,0,0,0,0,-7.12413882,0,8.82526465,0,2.33528368,0,0
"21",0,0,0,0,8.921704154,0,0,0,0,-9.141024071,0,6.908138987,0,2.651236965,0,0
"22",0,0,0,0,7.423112896,0,0,0,0,-9.904541372,0,3.568267291,3.472342792,3.572124769,0,0
"23",0,0,0,0,9.386656514,0,0,0,0,-7.739614058,0.6035461666,7.101225439,-6.633575237,3.548789553,0,0
"24",0,0,0,0,8.913404358,0,0,0,0,-8.695275424,0,6.784998994,0.172630356,2.762962823,0,0
"25",0,0,0,0,7.121860662,0,0,0,0,-6.355504548,0,2.19316346,0,4.624696666,0,0
"26",0,0,0,0,8.913404358,0,0,0,0,-8.460925661,0,7.431348728,0,2.762962823,0,0
"27",0,0,0,0,9.338143461,0,0,0,0,-7.12413882,0,9.184135197,0,2.33528368,0,0
"28",0,0,0,0,9.263122855,0,0,0,0,-7.739614058,0,7.101225439,-5.815156546,3.548789553,0,0
"29",0,0,0,0,7.075926142,0,0,0,-3.8237331,-9.632473727,0,4.746001072,6.630079358,2.68959176,0,0
"30",0,0,0,0,8.913404358,0,0,0,0,-8.382356687,0,6.908138987,0,2.762962823,0,0
"31",0,0,0,0,0,0,5.527393829,0,8.666632735,0,0,0,0,4.308243114,-7.89494038,0.314578383
"32",0,0,0,0,0,0,6.310793487,0,9.096154533,0,0,0,0,2.951055403,-7.358441199,0
"33",0,0,0,0,0,0,5.177233487,0,9.00006672,0,0,0,0,5.034185246,-7.530643282,0
"34",0,0,0,0,-5.989911788,0,6.870109765,0,8.875230296,0,0,0,0,3.906795837,-7.666390811,0.8098768531
"35",0,0,0,0,-9.303020672,0,7.548205351,0,9.059547213,0,0,0,0,3.482104797,-8.276611012,0.9249999336
"36",0,0,0,0,-9.957530795,0,6.928312627,0,9.750566586,0,0,0,0,3.588958084,-6.866508441,0
"37",0,0,0,0,0,0,6.310793487,0,9.591371765,0,0,0,0,3.588958084,-7.358441199,0
"38",0,0,0,0,-3.850889263,0,6.310793487,0,9.591371765,0,0,0,0,3.588958084,-6.866508441,0
"39",0,0,0,0,0,0,6.310793487,0,9.591371765,0,0,0,0,3.588958084,-7.358441199,0
"40",0,0,0,0,0.7387192161,0.5198135382,5.756752248,-4.930408854,-7.322121881,0,-4.518024866,9.307742074,8.705461667,0,0,0
"41",0,0,0,0,0,0,4.694208227,-4.79690178,-8.012405683,0,0,3.843575312,9.357436392,0,0,0
"42",0,0,0,0,0,0,5.431707545,-4.325531636,0,0,-0.6749517816,3.877038888,9.860383676,0,0,0
"43",0,0,0,0,0,2.569292408,5.869531764,-5.756770543,0,0,0,2.407430335,9.446795456,0,0,0
"44",0,0,0,0,0,0,6.865194452,0,9.096154533,0,0,0,0,2.951055403,-7.412450252,0
"45",0,0,0,0,0,0,5.221675527,0,9.044555195,0,0,0,0,3.728960007,-8.085180177,0
"46",0,0,0,0,0,0,4.189039066,-4.420677222,-1.59959127,0,0,2.954937625,9.384616379,0,0,0
"47",0,0,0,0,0,0.5834871816,5.935370175,-5.385987389,1.790384753,0,-4.883507434,9.395012911,8.779174397,0,0,0
"48",0,0,0,0,-8.45587201,0,7.548205351,0,9.05754023,0,0,0,0,3.510845015,-8.763680005,0.9249999336
"49",0,0,0,0,0,0,5.431707545,-4.309755305,0,0,-0.6713885072,3.877038888,9.445247363,0,0,0
"50",0,0,0,0,0,0,4.164151978,-4.79690178,-4.084788632,0,0,4.125473729,9.281009988,0,0,0
"51",0,0,0,0,0,0,5.431707545,-4.309755305,0,0,-0.6713885072,3.877038888,9.445247363,0,0,0
"52",0,0,0,0,-7.238833245,0,0,7.029036835,0,4.284850941,0,-8.13967787,8.387070717,0,0,0
"53",0,0,0,0,-5.444948138,0,0,1.024662333,0,-5.48997252,0.06019107272,5.622638303,8.685239319,0,0,0
"54",0,0,0,0,-5.509278858,0,0,1.024662333,1.915351873,-5.48997252,0,5.622638303,8.685239319,0,0,0
"55",0,0,0,0,-6.117060298,0,0,7.074736914,0,4.044726283,0.1481083814,-7.569953497,8.387070717,0,0,0
"56",0,0,0,0,-3.98826696,0,0,0.9802740479,0,-7.753798069,0,8.227992746,8.378331184,0,0,0
"57",0,0,0,0,-7.892629106,0,0,0.7641540503,0,-4.726351394,0,3.763670964,9.903676628,0,0,0
"58",0,0,0,0,-9.886137781,0,0,7.43086085,0,4.766617817,0,-6.629309052,8.808658066,0,0,0
"59",0,0,0,0,-5.614249751,0,0,0.9724026917,0,-9.946113489,0,8.445842239,8.676654178,0,0,0
"60",0,0,0,0,0,-2.328498175,5.206446217,0,9.425112063,0,0,0,4.679542187,7.190324809,-9.013324095,1.632802747
"61",0,0,0,0,-8.299027168,-0.6922369356,0,7.086073449,0,4.042099777,0,-3.716039743,9.136966237,0,0,0
"62",0,0,0,0,-4.925314621,0,0,0.9802740479,0,-9.176617617,0,7.25466348,8.676654178,0,0,0
"63",0,0,0,0,0,0.6116753705,4.327388027,-9.649249938,0,0,0.1240761679,4.445035051,9.379853603,0,0,0
"64",0,0,0,0,0,2.039711271,3.07295302,-8.365371962,0,0,-0.3303669212,5.883262058,9.339280661,0,0,0
"65",0,0,0,0,0,0,-7.689434703,5.463956745,9.46905692,0,0,0,-7.935368774,0,5.021337368,0
"66",0,0,0,0,8.72095427,0,0,2.270761178,0,4.539599831,0,-7.663227348,8.747750751,0,0,0
"67",0,0,0,0,8.72095427,0,0,2.270761178,0,4.539599831,0,-6.273474772,8.747750751,0,0,0
"68",0,0,0,0,8.082979979,0,0,3.494707792,0,4.566743017,0,-7.663227348,8.507703516,0,0,0
"69",0,0,0,0,7.423112896,0,0,0,0,-9.130108606,0,3.310686015,3.419035656,3.572124769,0,0
"70",0,0,0,0,7.025611585,0,0,0,0,-6.721468342,0,1.946926031,4.416776949,4.317132352,0,0
"71",0,0,0,0,8.902540976,0,0,0,0,-7.478265316,-0.7595874128,8.557394079,-4.85644337,3.506071722,0,0
"72",0,0,0,0,8.913404358,0,0,0,0,-8.413844216,0,7.713153015,0,2.551455103,0,0
"73",0,0,0,0,8.902540976,0,0,0,0,-7.819973134,0,8.890546707,-5.777699987,3.435355562,0,0
"74",0,0,0,0,7.373613041,0,0,0,0,-8.510450975,0,3.213075037,5.754415855,3.192331858,0,0
"75",0,0,0,0,8.902540976,0,0,0,-7.498834936,-7.478265316,0,9.145069183,-6.958087661,3.506071722,0,0
"76",0,0,0,0,8.600088371,0,0,0,0,-7.478265316,-0.7595874128,8.292366781,-3.509146808,3.270017209,0,0
