MM,AM,BM,CM,MA,AA,BA,CA,MB,AB,BB,CB,MC,AC,BC,CC,DifA,DifB,DifC,DegA,DegB,DegC
0,0,0,0,0,1.854518145,5.161418563,-5.756770543,0,0,0,2.407430335,9.446795456,0,0,0,0.0096292883,0.03084779615,0.0249600112,0.105612943,0.1126432999,0.03257903523
0,0,0,0,0,1.002167881,6.005153366,-5.808382116,0,0,0,2.129647058,9.59785843,0,0,0,0.0005580507717,0.005451795597,0.07972138891,0.06049070833,0.09043122705,0.03105361604
0,0,0,0,0,1.002167881,5.668297615,-5.808382116,0,0,0,2.129647058,9.59785843,0,0,0,0.00625913641,0.01929865908,0.05288632007,0.09011043558,0.09043122705,0.03105361604
0,0,0,0,0,1.864042487,5.686980461,-5.672925954,0,0,0,2.407430335,9.446795456,0,0,0,0.009443839205,0.01012895171,0.01930146832,0.1110136085,0.1072716643,0.03257903523
0,0,0,0,0,0,3.997263294,-4.650051067,0,0,0,3.194279703,9.136171165,0,0,0,0.0274688033,0.08318788032,0.07004489642,0.1050009337,0.09626596963,0.03783321746
0,0,0,0,9.655393549,0,3.997263294,-4.954395516,0,0,0,3.194279703,9.258376804,0,0,0,0.02394176167,0.04621639872,0.02916340454,0.07385275507,0.09626596963,0.03771796361
0,0,0,0,0,2.688396867,6.714548659,-7.115220974,-1.360877048,0,0,2.206033345,9.446795456,0,0,0,0.01053290279,0.07071394232,0.04577909746,0.1168080205,0.1035091004,0.02992049018
0,0,0,0,0,0,3.997263294,-4.24797817,0,0,0,2.993420792,9.136171165,0,0,0,0.007981835677,0.0671936542,0.0001689192973,0.09803076106,0.09626596963,0.03783436734
0,0,0,0,0,0,5.516412147,-5.014081629,0,0,0,2.653194773,9.504417265,0,0,0,0.009938322538,0.02801780266,0.033472115,0.1100327259,0.1085249152,0.03584179296
0,0,0,0,0,1.864042487,5.686980461,-5.672925954,-0.875009143,0,0,2.407430335,9.446795456,0,0,0,0.022774437,0.06781576901,0.03827200037,0.1110136085,0.1072716643,0.03153102324
0,0,0,0,0,1.391698317,5.516412147,-5.900680674,0,0,0,2.653194773,9.504417265,0,0,0,0.004542742358,0.06980488707,0.056624988,0.05830809303,0.1085249152,0.03584179296
0,0,0,0,-1.996707067,0,3.894789603,-3.949030009,0,0,0,2.858068649,9.446777288,0,0,0,0.001956011229,0.03866135088,0.01118388268,0.06781510351,0.08198471071,0.03241147158
0,0,0,0,9.101610604,0,3.491079704,0,8.986187135,0,0,0,1.289018198,2.979226681,-8.102035765,0.8472180748,0.08644018924,0.05955331892,0.000363146502,0.1175209508,0.09406663026,0.04463824279
0,0,0,0,5.988010025,0,4.307167784,0,8.746348121,0,0,0,0,5.520347893,-9.061196222,0,0.009187034283,0.06437528824,0.002739378265,0.1288642814,0.06103750865,0.08065675501
0,0,0,0,3.249110472,0,5.221675527,0,9.044555195,0,0,0,0,3.728960007,-8.402408745,0,0.07016531755,0.07566998228,0.006697489356,0.09563170184,0.0694779278,0.1007054547
0,0,0,0,7.06471072,0,3.99256029,0,8.746348121,0,0,0,0,5.625522615,-8.253443178,0,0.0823460952,0.09418219307,0.05763720862,0.1288642814,0.06671993482,0.1305795915
0,0,0,0,9.422258096,0,0,0,0,-8.587568299,0.3856058708,8.785265656,0,2.560000095,0,0,0.01974613639,0.004690716826,0.004224548988,0.03255380463,0.04844436423,0.1096808999
0,0,0,0,9.466730377,0,0,0,0,-6.209835457,0.6778177151,7.103050744,-8.935570125,3.548789553,0,0,0.00995655084,0.01312132522,0.09546046264,0.03041105603,0.1238844298,0.1154536467
0,0,0,0,8.913404358,0,0,0,0,-8.695275424,0,6.686712843,0,2.762962823,0,0,0.08888958001,0.002142388872,0.03696045349,0.0359235339,0.03453949548,0.08967878744
0,0,0,0,9.338143461,0,0,0,0,-7.12413882,0,8.82526465,0,2.33528368,0,0,0.05966074248,0.009509814547,0.07462719837,0.03255380463,0.09580619612,0.1096808999
0,0,0,0,8.921704154,0,0,0,0,-9.141024071,0,6.908138987,0,2.651236965,0,0,0.003432694281,0.0381555227,0.07424408783,0.03175363441,0.1084978578,0.07817324929
0,0,0,0,7.423112896,0,0,0,0,-9.904541372,0,3.568267291,3.472342792,3.572124769,0,0,0.02474899037,0.01141929639,0.01765427938,0.03618381328,0.05074568441,0.06678164005
0,0,0,0,9.386656514,0,0,0,0,-7.739614058,0.6035461666,7.101225439,-6.633575237,3.548789553,0,0,0.002519251819,0.004106226794,0.0007241261476,0.0317720048,0.05001764511,0.1006312878
0,0,0,0,8.913404358,0,0,0,0,-8.695275424,0,6.784998994,0.172630356,2.762962823,0,0,0.02610942758,0.00004040253272,0.0870021678,0.03083286976,0.07408341814,0.08402518338
0,0,0,0,7.121860662,0,0,0,0,-6.355504548,0,2.19316346,0,4.624696666,0,0,0.08516813446,0.02092531803,0.07313449114,0.03374827828,0.08489588726,0.06122703159
0,0,0,0,8.913404358,0,0,0,0,-8.460925661,0,7.431348728,0,2.762962823,0,0,0.07195395756,0.008251291922,0.09133064429,0.0348202673,0.0980861616,0.08967878744
0,0,0,0,9.338143461,0,0,0,0,-7.12413882,0,9.184135197,0,2.33528368,0,0,0.03649589691,0.004690716826,0.07489634979,0.03255380463,0.06666792899,0.1096808999
0,0,0,0,9.263122855,0,0,0,0,-7.739614058,0,7.101225439,-5.815156546,3.548789553,0,0,0.035126109,0.004106226794,0.006084215375,0.0317720048,0.04868798456,0.0960425077
0,0,0,0,7.075926142,0,0,0,-3.8237331,-9.632473727,0,4.746001072,6.630079358,2.68959176,0,0,0.0904188654,0.004804276992,0.04608744794,0.03046440234,0.05166644393,0.07817324929
0,0,0,0,8.913404358,0,0,0,0,-8.382356687,0,6.908138987,0,2.762962823,0,0,0.01640740865,0.00636381175,0.07701607786,0.03175363441,0.06912868666,0.08402518338
0,0,0,0,0,0,5.527393829,0,8.666632735,0,0,0,0,4.308243114,-7.89494038,0.314578383,0.08924937235,0.06580126753,0.004178454519,0.1225938763,0.06044327652,0.06733319958
0,0,0,0,0,0,6.310793487,0,9.096154533,0,0,0,0,2.951055403,-7.358441199,0,0.05032962534,0.02626320754,0.007774677109,0.08272171093,0.07153910089,0.04837755456
0,0,0,0,0,0,5.177233487,0,9.00006672,0,0,0,0,5.034185246,-7.530643282,0,0.05796705794,0.03013224115,0.02101202878,0.1233502526,0.05883469756,0.1204856976
0,0,0,0,-5.989911788,0,6.870109765,0,8.875230296,0,0,0,0,3.906795837,-7.666390811,0.8098768531,0.08343576974,0.03392016104,0.0003197247903,0.1180471235,0.06323190198,0.09407251917
0,0,0,0,-9.303020672,0,7.548205351,0,9.059547213,0,0,0,0,3.482104797,-8.276611012,0.9249999336,0.0105549813,0.05387186787,0.01027743653,0.08988802438,0.06023514014,0.1032113067
0,0,0,0,-9.957530795,0,6.928312627,0,9.750566586,0,0,0,0,3.588958084,-6.866508441,0,0.09945580361,0.05573165177,0.0127093507,0.08218444962,0.06381168592,0.04259253536
